Wavelength	Extrapolation Prescription	Cutoff prescription
nm	cm^2	cm^2
192.057	2.17E-21	2.17E-21
192.122	2.11E-21	2.11E-21
192.187	2.04E-21	2.04E-21
192.253	1.99E-21	1.99E-21
192.318	1.93E-21	1.93E-21
192.383	1.87E-21	1.87E-21
192.448	1.82E-21	1.82E-21
192.513	1.76E-21	1.76E-21
192.578	1.71E-21	1.71E-21
192.644	1.66E-21	1.66E-21
192.709	1.62E-21	1.62E-21
192.774	1.57E-21	1.57E-21
192.839	1.52E-21	1.52E-21
192.904	1.48E-21	1.48E-21
192.969	1.44E-21	1.44E-21
193.035	1.39E-21	1.39E-21
193.1	1.35E-21	1.35E-21
193.165	1.32E-21	1.32E-21
193.23	1.28E-21	1.28E-21
193.295	1.24E-21	1.24E-21
193.36	1.20E-21	1.20E-21
193.425	1.17E-21	1.17E-21
193.491	1.14E-21	1.14E-21
193.556	1.10E-21	1.10E-21
193.621	1.07E-21	1.07E-21
193.686	1.04E-21	1.04E-21
193.751	1.01E-21	1.01E-21
193.816	9.81E-22	9.81E-22
193.882	9.53E-22	9.53E-22
193.947	9.25E-22	9.25E-22
194.012	8.99E-22	8.99E-22
194.077	8.73E-22	8.73E-22
194.142	8.49E-22	8.49E-22
194.207	8.24E-22	8.24E-22
194.273	8.00E-22	8.00E-22
194.338	7.78E-22	7.78E-22
194.403	7.55E-22	7.55E-22
194.468	7.33E-22	7.33E-22
194.533	7.12E-22	7.12E-22
194.598	6.92E-22	6.92E-22
194.663	6.72E-22	6.72E-22
194.729	6.53E-22	6.53E-22
194.794	6.34E-22	6.34E-22
194.859	6.16E-22	6.16E-22
194.924	5.98E-22	5.98E-22
194.989	5.82E-22	5.82E-22
195.054	5.65E-22	5.65E-22
195.119	5.49E-22	5.49E-22
195.185	5.34E-22	5.34E-22
195.25	5.18E-22	5.18E-22
195.315	5.03E-22	5.03E-22
195.38	4.89E-22	4.89E-22
195.445	4.75E-22	4.75E-22
195.51	4.61E-22	4.61E-22
195.575	4.48E-22	4.48E-22
195.641	4.36E-22	4.36E-22
195.706	4.24E-22	4.24E-22
195.771	4.12E-22	4.12E-22
195.836	4.00E-22	4.00E-22
195.901	3.88E-22	3.88E-22
195.966	3.78E-22	3.78E-22
196.031	3.67E-22	3.67E-22
196.097	3.56E-22	3.56E-22
196.162	3.46E-22	3.46E-22
196.227	3.37E-22	3.37E-22
196.292	3.28E-22	3.28E-22
196.357	3.18E-22	3.18E-22
196.422	3.10E-22	3.10E-22
196.487	3.00E-22	3.00E-22
196.553	2.93E-22	2.93E-22
196.618	2.84E-22	2.84E-22
196.683	2.76E-22	2.76E-22
196.748	2.68E-22	2.68E-22
196.813	2.61E-22	2.61E-22
196.878	2.53E-22	2.53E-22
196.943	2.46E-22	2.46E-22
197.008	2.40E-22	2.40E-22
197.074	2.33E-22	2.33E-22
197.139	2.27E-22	2.27E-22
197.204	2.20E-22	2.20E-22
197.269	2.14E-22	2.14E-22
197.334	2.08E-22	2.08E-22
197.399	2.03E-22	2.03E-22
197.464	1.97E-22	1.97E-22
197.529	1.91E-22	1.91E-22
197.595	1.87E-22	1.87E-22
197.66	1.81E-22	1.81E-22
197.725	1.76E-22	1.76E-22
197.79	1.71E-22	1.71E-22
197.855	1.66E-22	1.66E-22
197.92	1.62E-22	1.62E-22
197.985	1.58E-22	1.58E-22
198.05	1.53E-22	1.53E-22
198.116	1.49E-22	1.49E-22
198.181	1.45E-22	1.45E-22
198.246	1.41E-22	1.41E-22
198.311	1.37E-22	1.37E-22
198.376	1.34E-22	1.34E-22
198.441	1.29E-22	1.29E-22
198.506	1.26E-22	1.26E-22
198.571	1.23E-22	1.23E-22
198.637	1.20E-22	1.20E-22
198.702	1.16E-22	1.16E-22
198.767	1.13E-22	1.13E-22
198.832	1.10E-22	1.10E-22
198.897	1.07E-22	1.07E-22
198.962	1.04E-22	1.04E-22
199.027	1.01E-22	1.01E-22
199.092	9.83E-23	9.83E-23
199.157	9.59E-23	9.59E-23
199.223	9.30E-23	9.30E-23
199.288	9.08E-23	9.08E-23
199.353	8.87E-23	8.87E-23
199.418	8.56E-23	8.56E-23
199.483	8.39E-23	8.39E-23
199.548	8.10E-23	8.10E-23
199.613	7.96E-23	7.96E-23
199.678	7.74E-23	7.74E-23
199.743	7.54E-23	7.54E-23
199.809	7.29E-23	7.29E-23
199.874	7.10E-23	7.10E-23
199.939	6.89E-23	6.89E-23
200.004	6.74E-23	6.74E-23
200.069	6.54E-23	6.54E-23
200.134	6.39E-23	6.39E-23
200.199	6.19E-23	6.19E-23
200.264	6.08E-23	6.08E-23
200.329	5.94E-23	5.94E-23
200.394	5.76E-23	5.76E-23
200.46	5.60E-23	5.60E-23
200.525	5.48E-23	5.48E-23
200.59	5.33E-23	5.33E-23
200.655	5.24E-23	5.24E-23
200.72	5.07E-23	5.07E-23
200.785	4.89E-23	4.89E-23
200.85	4.79E-23	4.79E-23
200.915	4.66E-23	4.66E-23
200.98	4.55E-23	4.55E-23
201.045	4.39E-23	4.39E-23
201.111	4.28E-23	4.28E-23
